Index,Zeit,Langenanderung,Temperatur
509,517.7235718,86.57429504,785.1397705
510,517.7436523,86.335495,784.0412598
511,517.7606201,86.14334869,783.0563965
512,517.7786255,85.91551971,781.9955444
513,517.7955322,85.71514893,780.937439
514,517.8145752,85.44065094,779.7994385
515,517.8325806,85.17440796,778.7633667
516,517.8525391,84.94657135,777.7277222
517,517.871582,84.69677734,776.5985718
518,517.8895874,84.47718811,775.5466309
519,517.9054565,84.28230286,774.5081177
520,517.9234009,84.0187912,773.4039917
521,517.9414063,83.7937088,772.3207398
522,517.9603882,83.54118347,771.3192749
523,517.9783936,83.32982635,770.2008057
524,517.9942627,83.13493347,769.2805786
525,518.0153198,82.82201385,768.1471558
526,518.0343628,82.63261414,767.0253296
527,518.0523071,82.35264587,765.9862061
528,518.0681763,82.15500641,764.9336548
529,518.0862427,81.96560669,763.7728272
530,518.1073608,81.68013763,762.7739868
531,518.1253662,81.41387177,761.5783691
532,518.1433106,81.26290894,760.6781616
533,518.1623535,80.96096802,759.6645508
534,518.1813965,80.71118164,758.5424194
535,518.1983032,80.49158478,757.5092773
536,518.2173462,80.28572083,756.451416
537,518.2374878,80.02770233,755.3794556
538,518.2576294,79.76145172,754.2316284
539,518.2724609,79.55008698,753.2441406
540,518.2925415,79.33049774,752.1691284
541,518.3095093,79.06149292,751.1564941
542,518.3274536,78.85562134,750.1170654
543,518.3465576,78.60309601,748.9832764
544,518.3644409,78.40821075,747.8361206
545,518.3834839,78.16116333,746.8878174
546,518.4046021,77.90039825,745.8718872
547,518.4215698,77.6725769,744.789978
548,518.4417114,77.37063599,743.7975464
549,518.4586792,77.19221497,742.6231079
550,518.4777222,76.94517517,741.571228
551,518.4957275,76.69538879,740.5847778
552,518.5147705,76.50049591,739.4784546
553,518.5338135,76.23149872,738.4434204
554,518.5516968,76.02562714,737.3436279
555,518.5708008,75.80878448,736.3735352
556,518.5898438,75.55076599,735.2546997
557,518.611023,75.25431061,734.2696533
558,518.6311646,75.00452423,733.0585327
559,518.6481323,74.80414581,732.0906982
560,518.6671753,74.60926056,731.0618897
561,518.6841431,74.378685,730.0269775
562,518.703186,74.11243439,728.9742432
563,518.7210693,73.86813354,727.9084473
564,518.7390137,73.67873383,726.8398438
565,518.7581177,73.4152298,725.7147217
566,518.7792358,73.18190765,724.7195435
567,518.7993164,72.95682526,723.6143799
568,518.8184204,72.6603775,722.6351929
569,518.838562,72.45450592,721.574707
570,518.857605,72.19374084,720.3939209
571,518.876709,71.97140503,719.3869629
572,518.8978272,71.69691467,718.3309326
573,518.9157715,71.46360016,717.3244019
574,518.9337158,71.25224304,716.2588501
575,518.9528198,71.00245667,715.1951904
576,518.9707642,70.7828598,714.0023804
577,518.9909058,70.5577774,713.1198731
578,519.0099487,70.32171631,712.053894
579,519.0321655,70.01977539,710.8901367
580,519.0522461,69.81665802,709.8676758
581,519.0713501,69.57785034,708.8646851
582,519.0913696,69.31708527,707.7556763
583,519.1083374,69.11396027,706.7285156
584,519.1262817,68.89985657,705.6987915
585,519.1464233,68.63085175,704.6269531
586,519.1675415,68.38381195,703.5446777
587,519.1876831,68.14226532,702.4476318
588,519.206665,67.91443634,701.4796753
589,519.2268066,67.68660736,700.3799439
590,519.2458496,67.43132782,699.3190918
591,519.2637329,67.18703461,698.2905273
592,519.2869873,66.91529083,697.1116943
593,519.3071289,66.717659,696.0149536
594,519.3283081,66.44042206,694.9746094
595,519.3463135,66.20436096,693.7641602
596,519.3632202,66.03417206,692.887085
597,519.385437,65.79811096,691.8266602
598,519.4087524,65.46048737,690.736145
599,519.4299316,65.23540497,689.5672607
600,519.4467773,65.04051971,688.6624756
601,519.4657593,64.78798676,687.5979004
602,519.4890137,64.54369354,686.5557861
603,519.5090942,64.2664566,685.4645386
604,519.5281982,64.085289,684.3894043
605,519.550415,63.75041199,683.2838745
606,519.569458,63.58846664,682.2670288
607,519.5927734,63.27554703,681.2232056
608,519.6096802,63.10536194,680.2202148
609,519.6309204,62.80342484,679.0368042
610,519.6477051,62.60853577,678.1638184
611,519.6699219,62.38070679,676.9794922
612,519.6911621,62.18307495,675.9667969
613,519.7091065,61.93328857,674.8324585
614,519.7302856,61.66703415,673.795105
615,519.7504273,61.41175842,672.7650147
616,519.7747192,61.1207962,671.6514282
617,519.791687,60.94512177,670.5935669
618,519.81073,60.71455002,669.5911255
619,519.829773,60.44005966,668.5346069
620,519.8487549,60.26164246,667.4559937
621,519.8731079,59.97068024,666.3998413
622,519.8953247,59.73461914,665.2960815
623,519.9154053,59.49581146,664.2907715
624,519.9376221,59.23504639,663.2279053
625,519.9588013,58.97428131,662.1260986
626,519.9788818,58.73822021,661.0559692
627,519.9990234,58.49666977,659.996521
628,520.019104,58.25511551,658.9772949
629,520.0401611,58.04924774,657.8740845
630,520.0623779,57.82142258,656.8413086
631,520.0835571,57.53046036,655.8122559
632,520.1036377,57.29165649,654.6254883
633,520.1237793,57.06931686,653.699585
634,520.1448975,56.84698105,652.569519
635,520.1682129,56.57798004,651.4758301
636,520.1904297,56.34466171,650.5112915
637,520.2116089,56.08115005,649.3624878
638,520.2348633,55.79019165,648.3868408
639,520.2527466,55.60628128,647.3130493
640,520.2781372,55.34002686,646.2624512
641,520.2982788,55.09847641,645.21521
642,520.3204956,54.84594345,644.1420898
643,520.343811,54.55223846,643.0856323
644,520.3649292,54.31617737,642.0330811
645,520.381897,54.15971756,640.9573364
646,520.4051514,53.86601257,639.9205933
647,520.4252319,53.67387009,638.7634277
648,520.4473267,53.42133713,637.7609863
649,520.4696045,53.18527603,636.7558594
650,520.4907227,52.95470428,635.6790772
651,520.5108643,52.71040726,634.5887451
652,520.5288086,52.48532486,633.5886841
653,520.5542603,52.23279572,632.4888916
654,520.5796509,51.93360138,631.456604
655,520.5986939,51.75518036,630.3875732
656,520.6209106,51.50265121,629.3625488
657,520.6410523,51.2556076,628.3639526
658,520.6621094,51.04699707,627.2570801
659,520.6832886,50.81916809,626.1598511
660,520.7023315,50.59683228,625.1243897
661,520.725647,50.47880173,624.145874
662,520.7457275,50.37723923,623.0631104
663,520.7700806,50.15490341,621.9215088
664,520.793335,49.81179047,620.8960571
665,520.8155518,49.56749344,619.9028931
666,520.836731,49.33417511,618.7611084
667,520.8620606,49.02674484,617.7930298
668,520.885376,48.98282623,616.770752
669,520.9055176,48.62324524,615.7098389
